Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type
villa,nieuwenrode,1880,10642981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,kortessem,3720,10642980,€348000,Kempische Steenweg 398,3,Not specified,Not specified,No,Yes,0,526,0,3,2023,Good,0,1,0,Yes,0,Hyper equipped,Solar
villa,zonhoven,3520,10642977,€525000,Kempische Steenweg 398,2,C,274,No,Yes,0,878,0,4,1995,Good,0,1,0,0,0,0,Gas
house,kasterlee,2460,10642965,€465000,Bisschopslaan 16,2,B,189,No,Yes,0,1221,45,4,0,0,0,1,0,0,2,Hyper equipped,Gas
house,tremelo,3120,10642957,€499000,Schrieksebaan 53B001,3,D,383,No,Yes,0,17656,0,4,1973,Good,0,1,0,Yes,2,Installed,0
villa,schilde,2970,10642946,€1199000,Donksesteenweg 212,6,B,199,No,Yes,0,2790,0,0,0,As new,0,2,0,No,3,Installed,Gas
duplex,bierbeek%20korbeek-lo,3360,10531808,€450000,Herbert Hooverplein 14,3,B,120,No,0,9,0,0,2,2007,Good,0,2,0,0,0,Hyper equipped,Gas
penthouse,braine-l%27alleud,1420,10642943,€699000,Avenue Alphonse Allard 288,3,Not specified,Not specified,No,0,0,0,0,3,2021,0,0,2,0,0,0,0,0
house,wevelgem,8560,10642937,€340000,Markeplaats 9,4,B,161,0,Yes,0,621,0,0,1967,0,0,0,0,No,0,0,0
villa,lubbeek,3210,10642929,€2395000,Brusselsesteenweg 66,2,B,197,No,0,60,2181,42,4,2008,As new,0,2,3,Yes,4,Hyper equipped,0
